path,label
./data\003. Venusaur\venusaur0.jpg,2
./data\003. Venusaur\venusaur1.jpg,2
./data\003. Venusaur\venusaur4.png,2
./data\003. Venusaur\sprites\venusaur-f10.png,2
./data\003. Venusaur\sprites\venusaur-f11.png,2
./data\003. Venusaur\sprites\venusaur-f3.png,2
./data\003. Venusaur\sprites\venusaur-f4.png,2
./data\003. Venusaur\sprites\venusaur-f5.png,2
./data\003. Venusaur\sprites\venusaur-f9.png,2
./data\003. Venusaur\sprites\venusaur0.png,2
./data\003. Venusaur\sprites\venusaur1.png,2
./data\003. Venusaur\sprites\venusaur2.png,2
./data\003. Venusaur\sprites\venusaur6.png,2
./data\003. Venusaur\sprites\venusaur7.png,2
./data\003. Venusaur\sprites\venusaur8.png,2
./data\004. Charmander\charmander-gen1-jp3.jpg,3
./data\004. Charmander\charmander-gen12.jpg,3
./data\004. Charmander\charmander0.jpg,3
./data\004. Charmander\charmander1.jpg,3
./data\004. Charmander\charmander4.png,3
./data\004. Charmander\sprites\charmander0.png,3
./data\004. Charmander\sprites\charmander1.png,3
./data\004. Charmander\sprites\charmander10.png,3
./data\004. Charmander\sprites\charmander11.png,3
./data\004. Charmander\sprites\charmander2.png,3
./data\004. Charmander\sprites\charmander3.png,3
./data\004. Charmander\sprites\charmander4.png,3
./data\004. Charmander\sprites\charmander5.png,3
./data\004. Charmander\sprites\charmander6.png,3
./data\004. Charmander\sprites\charmander7.png,3
./data\004. Charmander\sprites\charmander8.png,3
./data\004. Charmander\sprites\charmander9.png,3
./data\005. Charmeleon\charmeleon-gen1-jp3.jpg,4
./data\005. Charmeleon\charmeleon-gen12.jpg,4
./data\005. Charmeleon\charmeleon0.jpg,4
./data\005. Charmeleon\charmeleon1.jpg,4
./data\005. Charmeleon\charmeleon4.png,4
./data\005. Charmeleon\sprites\charmeleon0.png,4
./data\005. Charmeleon\sprites\charmeleon1.png,4
./data\005. Charmeleon\sprites\charmeleon10.png,4
./data\005. Charmeleon\sprites\charmeleon11.png,4
./data\005. Charmeleon\sprites\charmeleon2.png,4
./data\005. Charmeleon\sprites\charmeleon3.png,4
./data\005. Charmeleon\sprites\charmeleon4.png,4
./data\005. Charmeleon\sprites\charmeleon5.png,4
./data\005. Charmeleon\sprites\charmeleon6.png,4
./data\005. Charmeleon\sprites\charmeleon7.png,4
./data\005. Charmeleon\sprites\charmeleon8.png,4
./data\005. Charmeleon\sprites\charmeleon9.png,4
./data\006. Charizard\charizard-gigantamax-alt6.jpg,5
./data\006. Charizard\charizard-gigantamax4.jpg,5
./data\006. Charizard\charizard-mega-x2.jpg,5
./data\006. Charizard\charizard-mega-y3.jpg,5
./data\006. Charizard\charizard0.jpg,5
./data\006. Charizard\charizard1.jpg,5
./data\006. Charizard\charizard5.png,5
./data\006. Charizard\sprites\charizard0.png,5
./data\006. Charizard\sprites\charizard1.png,5
./data\006. Charizard\sprites\charizard10.png,5
./data\006. Charizard\sprites\charizard11.png,5
./data\006. Charizard\sprites\charizard2.png,5
./data\006. Charizard\sprites\charizard3.png,5
./data\006. Charizard\sprites\charizard4.png,5
./data\006. Charizard\sprites\charizard5.png,5
./data\006. Charizard\sprites\charizard6.png,5
./data\006. Charizard\sprites\charizard7.png,5
./data\006. Charizard\sprites\charizard8.png,5
./data\006. Charizard\sprites\charizard9.png,5
./data\007. Squirtle\squirtle-gen1-jp3.jpg,6
./data\007. Squirtle\squirtle-gen12.jpg,6
./data\007. Squirtle\squirtle0.jpg,6
./data\007. Squirtle\squirtle1.jpg,6
./data\007. Squirtle\squirtle4.png,6
./data\007. Squirtle\sprites\squirtle0.png,6
./data\007. Squirtle\sprites\squirtle1.png,6
./data\007. Squirtle\sprites\squirtle10.png,6
./data\007. Squirtle\sprites\squirtle11.png,6
./data\007. Squirtle\sprites\squirtle2.png,6
./data\007. Squirtle\sprites\squirtle3.png,6
./data\007. Squirtle\sprites\squirtle4.png,6
./data\007. Squirtle\sprites\squirtle5.png,6
./data\007. Squirtle\sprites\squirtle6.png,6
./data\007. Squirtle\sprites\squirtle7.png,6
./data\007. Squirtle\sprites\squirtle8.png,6
./data\007. Squirtle\sprites\squirtle9.png,6
./data\008. Wartortle\wartortle-gen1-jp3.jpg,7
./data\008. Wartortle\wartortle-gen12.jpg,7
./data\008. Wartortle\wartortle0.jpg,7
./data\008. Wartortle\wartortle1.jpg,7
./data\008. Wartortle\wartortle4.png,7
./data\008. Wartortle\sprites\wartortle0.png,7
./data\008. Wartortle\sprites\wartortle1.png,7
./data\008. Wartortle\sprites\wartortle10.png,7
./data\008. Wartortle\sprites\wartortle11.png,7
./data\008. Wartortle\sprites\wartortle2.png,7
./data\008. Wartortle\sprites\wartortle3.png,7
./data\008. Wartortle\sprites\wartortle4.png,7
./data\008. Wartortle\sprites\wartortle5.png,7
./data\008. Wartortle\sprites\wartortle6.png,7
./data\008. Wartortle\sprites\wartortle7.png,7
./data\008. Wartortle\sprites\wartortle8.png,7
./data\008. Wartortle\sprites\wartortle9.png,7
./data\009. Blastoise\blastoise-gigantamax-alt5.jpg,8
./data\009. Blastoise\blastoise-gigantamax3.jpg,8
./data\009. Blastoise\blastoise-mega2.jpg,8
./data\009. Blastoise\blastoise0.jpg,8
./data\009. Blastoise\blastoise1.jpg,8
./data\009. Blastoise\blastoise4.png,8
./data\009. Blastoise\sprites\blastoise0.png,8
./data\009. Blastoise\sprites\blastoise1.png,8
./data\009. Blastoise\sprites\blastoise10.png,8
./data\009. Blastoise\sprites\blastoise11.png,8
./data\009. Blastoise\sprites\blastoise2.png,8
./data\009. Blastoise\sprites\blastoise3.png,8
./data\009. Blastoise\sprites\blastoise4.png,8
./data\009. Blastoise\sprites\blastoise5.png,8
./data\009. Blastoise\sprites\blastoise6.png,8
./data\009. Blastoise\sprites\blastoise7.png,8
./data\009. Blastoise\sprites\blastoise8.png,8
./data\009. Blastoise\sprites\blastoise9.png,8
./data\010. Caterpie\caterpie-gen1-jp3.jpg,9
./data\010. Caterpie\caterpie-gen12.jpg,9
./data\010. Caterpie\caterpie0.jpg,9
./data\010. Caterpie\caterpie1.jpg,9
./data\010. Caterpie\caterpie4.png,9
./data\010. Caterpie\sprites\caterpie0.png,9
./data\010. Caterpie\sprites\caterpie1.png,9
./data\010. Caterpie\sprites\caterpie10.png,9
./data\010. Caterpie\sprites\caterpie11.png,9
./data\010. Caterpie\sprites\caterpie12.png,9
./data\010. Caterpie\sprites\caterpie13.png,9
./data\010. Caterpie\sprites\caterpie2.png,9
./data\010. Caterpie\sprites\caterpie3.png,9
./data\010. Caterpie\sprites\caterpie4.png,9
./data\010. Caterpie\sprites\caterpie5.png,9
./data\010. Caterpie\sprites\caterpie6.png,9
./data\010. Caterpie\sprites\caterpie7.png,9
./data\010. Caterpie\sprites\caterpie8.png,9
./data\010. Caterpie\sprites\caterpie9.png,9
./data\011. Metapod\metapod-gen1-jp3.jpg,10
./data\011. Metapod\metapod-gen12.jpg,10
./data\011. Metapod\metapod0.jpg,10
./data\011. Metapod\metapod1.jpg,10
./data\011. Metapod\metapod4.png,10
./data\011. Metapod\sprites\metapod0.png,10
./data\011. Metapod\sprites\metapod1.png,10
./data\011. Metapod\sprites\metapod10.png,10
./data\011. Metapod\sprites\metapod11.png,10
./data\011. Metapod\sprites\metapod12.png,10
./data\011. Metapod\sprites\metapod13.png,10
./data\011. Metapod\sprites\metapod2.png,10
./data\011. Metapod\sprites\metapod3.png,10
./data\011. Metapod\sprites\metapod4.png,10
./data\011. Metapod\sprites\metapod5.png,10
./data\011. Metapod\sprites\metapod6.png,10
./data\011. Metapod\sprites\metapod7.png,10
./data\011. Metapod\sprites\metapod8.png,10
./data\011. Metapod\sprites\metapod9.png,10
./data\012. Butterfree\butterfree-gen13.jpg,11
./data\012. Butterfree\butterfree-gigantamax-alt5.jpg,11
./data\012. Butterfree\butterfree-gigantamax2.jpg,11
./data\012. Butterfree\butterfree0.jpg,11
./data\012. Butterfree\butterfree1.jpg,11
./data\012. Butterfree\butterfree4.png,11
./data\012. Butterfree\sprites\butterfree-f10.png,11
./data\012. Butterfree\sprites\butterfree-f11.png,11
./data\012. Butterfree\sprites\butterfree-f12.png,11
./data\012. Butterfree\sprites\butterfree-f13.png,11
./data\012. Butterfree\sprites\butterfree-f3.png,11
./data\012. Butterfree\sprites\butterfree-f4.png,11
./data\012. Butterfree\sprites\butterfree-f5.png,11
./data\012. Butterfree\sprites\butterfree-f6.png,11
./data\012. Butterfree\sprites\butterfree0.png,11
./data\012. Butterfree\sprites\butterfree1.png,11
./data\012. Butterfree\sprites\butterfree2.png,11
./data\012. Butterfree\sprites\butterfree7.png,11
./data\012. Butterfree\sprites\butterfree8.png,11
./data\012. Butterfree\sprites\butterfree9.png,11
./data\013. Weedle\weedle-gen1-jp3.jpg,12
./data\013. Weedle\weedle-gen12.jpg,12
./data\013. Weedle\weedle0.jpg,12
./data\013. Weedle\weedle1.jpg,12
./data\013. Weedle\weedle4.png,12
./data\013. Weedle\sprites\weedle0.png,12
./data\013. Weedle\sprites\weedle1.png,12
./data\013. Weedle\sprites\weedle10.png,12
./data\013. Weedle\sprites\weedle2.png,12
./data\013. Weedle\sprites\weedle3.png,12
./data\013. Weedle\sprites\weedle4.png,12
./data\013. Weedle\sprites\weedle5.png,12
./data\013. Weedle\sprites\weedle6.png,12
./data\013. Weedle\sprites\weedle7.png,12
./data\013. Weedle\sprites\weedle8.png,12
./data\013. Weedle\sprites\weedle9.png,12
./data\014. Kakuna\kakuna-gen1-jp3.jpg,13
./data\014. Kakuna\kakuna-gen12.jpg,13
./data\014. Kakuna\kakuna0.jpg,13
./data\014. Kakuna\kakuna1.jpg,13
./data\014. Kakuna\kakuna4.png,13
./data\014. Kakuna\sprites\kakuna0.png,13
./data\014. Kakuna\sprites\kakuna1.png,13
./data\014. Kakuna\sprites\kakuna10.png,13
./data\014. Kakuna\sprites\kakuna2.png,13
./data\014. Kakuna\sprites\kakuna3.png,13
./data\014. Kakuna\sprites\kakuna4.png,13
./data\014. Kakuna\sprites\kakuna5.png,13
./data\014. Kakuna\sprites\kakuna6.png,13
./data\014. Kakuna\sprites\kakuna7.png,13
./data\014. Kakuna\sprites\kakuna8.png,13
./data\014. Kakuna\sprites\kakuna9.png,13
./data\015. Beedrill\beedrill-gen13.jpg,14
./data\015. Beedrill\beedrill-mega2.jpg,14
./data\015. Beedrill\beedrill0.jpg,14
./data\015. Beedrill\beedrill1.jpg,14
./data\015. Beedrill\beedrill4.png,14
./data\015. Beedrill\sprites\beedrill0.png,14
./data\015. Beedrill\sprites\beedrill1.png,14
./data\015. Beedrill\sprites\beedrill10.png,14
./data\015. Beedrill\sprites\beedrill2.png,14
./data\015. Beedrill\sprites\beedrill3.png,14
./data\015. Beedrill\sprites\beedrill4.png,14
./data\015. Beedrill\sprites\beedrill5.png,14
./data\015. Beedrill\sprites\beedrill6.png,14
./data\015. Beedrill\sprites\beedrill7.png,14
./data\015. Beedrill\sprites\beedrill8.png,14
./data\015. Beedrill\sprites\beedrill9.png,14
./data\016. Pidgey\pidgey-gen1-jp3.jpg,15
./data\016. Pidgey\pidgey-gen12.jpg,15
./data\016. Pidgey\pidgey0.jpg,15
./data\016. Pidgey\pidgey1.jpg,15
./data\016. Pidgey\pidgey4.png,15
./data\016. Pidgey\sprites\pidgey0.png,15
./data\016. Pidgey\sprites\pidgey1.png,15
./data\016. Pidgey\sprites\pidgey10.png,15
./data\016. Pidgey\sprites\pidgey2.png,15
./data\016. Pidgey\sprites\pidgey3.png,15
./data\016. Pidgey\sprites\pidgey4.png,15
./data\016. Pidgey\sprites\pidgey5.png,15
./data\016. Pidgey\sprites\pidgey6.png,15
./data\016. Pidgey\sprites\pidgey7.png,15
./data\016. Pidgey\sprites\pidgey8.png,15
./data\016. Pidgey\sprites\pidgey9.png,15
./data\017. Pidgeotto\pidgeotto-gen1-jp3.jpg,16
./data\017. Pidgeotto\pidgeotto-gen12.jpg,16
./data\017. Pidgeotto\pidgeotto0.jpg,16
./data\017. Pidgeotto\pidgeotto1.jpg,16
./data\017. Pidgeotto\pidgeotto4.png,16
./data\017. Pidgeotto\sprites\pidgeotto0.png,16
./data\017. Pidgeotto\sprites\pidgeotto1.png,16
./data\017. Pidgeotto\sprites\pidgeotto10.png,16
./data\017. Pidgeotto\sprites\pidgeotto2.png,16
./data\017. Pidgeotto\sprites\pidgeotto3.png,16
./data\017. Pidgeotto\sprites\pidgeotto4.png,16
./data\017. Pidgeotto\sprites\pidgeotto5.png,16
./data\017. Pidgeotto\sprites\pidgeotto6.png,16
./data\017. Pidgeotto\sprites\pidgeotto7.png,16
./data\017. Pidgeotto\sprites\pidgeotto8.png,16
./data\017. Pidgeotto\sprites\pidgeotto9.png,16
./data\018. Pidgeot\pidgeot-gen13.jpg,17
./data\018. Pidgeot\pidgeot-mega2.jpg,17
./data\018. Pidgeot\pidgeot0.jpg,17
./data\018. Pidgeot\pidgeot1.jpg,17
./data\018. Pidgeot\pidgeot4.png,17
./data\018. Pidgeot\sprites\pidgeot0.png,17
./data\018. Pidgeot\sprites\pidgeot1.png,17
./data\018. Pidgeot\sprites\pidgeot10.png,17
./data\018. Pidgeot\sprites\pidgeot2.png,17
./data\018. Pidgeot\sprites\pidgeot3.png,17
./data\018. Pidgeot\sprites\pidgeot4.png,17
./data\018. Pidgeot\sprites\pidgeot5.png,17
./data\018. Pidgeot\sprites\pidgeot6.png,17
./data\018. Pidgeot\sprites\pidgeot7.png,17
./data\018. Pidgeot\sprites\pidgeot8.png,17
./data\018. Pidgeot\sprites\pidgeot9.png,17
./data\019. Rattata\rattata-alolan2.jpg,18
./data\019. Rattata\rattata-gen13.jpg,18
./data\019. Rattata\rattata0.jpg,18
./data\019. Rattata\rattata1.jpg,18
./data\019. Rattata\rattata4.png,18
./data\019. Rattata\sprites\rattata-alolan12.png,18
./data\019. Rattata\sprites\rattata-alolan6.png,18
./data\019. Rattata\sprites\rattata-f10.png,18
./data\019. Rattata\sprites\rattata-f11.png,18
./data\019. Rattata\sprites\rattata-f3.png,18
./data\019. Rattata\sprites\rattata-f4.png,18
./data\019. Rattata\sprites\rattata-f5.png,18
./data\019. Rattata\sprites\rattata-f9.png,18
./data\019. Rattata\sprites\rattata0.png,18
./data\019. Rattata\sprites\rattata1.png,18
./data\019. Rattata\sprites\rattata2.png,18
./data\019. Rattata\sprites\rattata7.png,18
./data\019. Rattata\sprites\rattata8.png,18
./data\020. Raticate\raticate-alolan2.jpg,19
./data\020. Raticate\raticate-gen13.jpg,19
./data\020. Raticate\raticate0.jpg,19
./data\020. Raticate\raticate1.jpg,19
./data\020. Raticate\raticate4.png,19
./data\020. Raticate\sprites\raticate-alolan12.png,19
./data\020. Raticate\sprites\raticate-alolan6.png,19
./data\020. Raticate\sprites\raticate-f10.png,19
./data\020. Raticate\sprites\raticate-f11.png,19
./data\020. Raticate\sprites\raticate-f3.png,19
./data\020. Raticate\sprites\raticate-f4.png,19
./data\020. Raticate\sprites\raticate-f5.png,19
./data\020. Raticate\sprites\raticate-f9.png,19
./data\020. Raticate\sprites\raticate0.png,19
./data\020. Raticate\sprites\raticate1.png,19
./data\020. Raticate\sprites\raticate2.png,19
./data\020. Raticate\sprites\raticate7.png,19
./data\020. Raticate\sprites\raticate8.png,19
./data\021. Spearow\spearow-gen1-jp3.jpg,20
./data\021. Spearow\spearow-gen12.jpg,20
./data\021. Spearow\spearow0.jpg,20
./data\021. Spearow\spearow1.jpg,20
./data\021. Spearow\spearow4.png,20
./data\021. Spearow\sprites\spearow0.png,20
./data\021. Spearow\sprites\spearow1.png,20
./data\021. Spearow\sprites\spearow10.png,20
./data\021. Spearow\sprites\spearow11.png,20
./data\021. Spearow\sprites\spearow12.png,20
./data\021. Spearow\sprites\spearow2.png,20
./data\021. Spearow\sprites\spearow3.png,20
./data\021. Spearow\sprites\spearow4.png,20
./data\021. Spearow\sprites\spearow5.png,20
./data\021. Spearow\sprites\spearow6.png,20
./data\021. Spearow\sprites\spearow7.png,20
./data\021. Spearow\sprites\spearow8.png,20
./data\021. Spearow\sprites\spearow9.png,20
./data\022. Fearow\fearow-gen1-jp3.jpg,21
./data\022. Fearow\fearow-gen12.jpg,21
./data\022. Fearow\fearow0.jpg,21
./data\022. Fearow\fearow1.jpg,21
./data\022. Fearow\fearow4.png,21
./data\022. Fearow\sprites\fearow0.png,21
./data\022. Fearow\sprites\fearow1.png,21
./data\022. Fearow\sprites\fearow10.png,21
./data\022. Fearow\sprites\fearow11.png,21
./data\022. Fearow\sprites\fearow12.png,21
./data\022. Fearow\sprites\fearow2.png,21
./data\022. Fearow\sprites\fearow3.png,21
./data\022. Fearow\sprites\fearow4.png,21
./data\022. Fearow\sprites\fearow5.png,21
./data\022. Fearow\sprites\fearow6.png,21
./data\022. Fearow\sprites\fearow7.png,21
./data\022. Fearow\sprites\fearow8.png,21
./data\022. Fearow\sprites\fearow9.png,21
./data\023. Ekans\ekans-gen1-jp3.jpg,22
./data\023. Ekans\ekans-gen12.jpg,22
./data\023. Ekans\ekans0.jpg,22
./data\023. Ekans\ekans1.jpg,22
./data\023. Ekans\ekans4.png,22
./data\023. Ekans\sprites\ekans0.png,22
./data\023. Ekans\sprites\ekans1.png,22
./data\023. Ekans\sprites\ekans10.png,22
./data\023. Ekans\sprites\ekans11.png,22
./data\023. Ekans\sprites\ekans12.png,22
./data\023. Ekans\sprites\ekans2.png,22
./data\023. Ekans\sprites\ekans3.png,22
./data\023. Ekans\sprites\ekans4.png,22
./data\023. Ekans\sprites\ekans5.png,22
./data\023. Ekans\sprites\ekans6.png,22
./data\023. Ekans\sprites\ekans7.png,22
./data\023. Ekans\sprites\ekans8.png,22
./data\023. Ekans\sprites\ekans9.png,22
./data\024. Arbok\arbok-gen1-jp3.jpg,23
./data\024. Arbok\arbok-gen12.jpg,23
./data\024. Arbok\arbok0.jpg,23
./data\024. Arbok\arbok1.jpg,23
./data\024. Arbok\arbok4.png,23
./data\024. Arbok\sprites\arbok0.png,23
./data\024. Arbok\sprites\arbok1.png,23
./data\024. Arbok\sprites\arbok10.png,23
./data\024. Arbok\sprites\arbok11.png,23
./data\024. Arbok\sprites\arbok12.png,23
./data\024. Arbok\sprites\arbok2.png,23
./data\024. Arbok\sprites\arbok3.png,23
./data\024. Arbok\sprites\arbok4.png,23
./data\024. Arbok\sprites\arbok5.png,23
./data\024. Arbok\sprites\arbok6.png,23
./data\024. Arbok\sprites\arbok7.png,23
./data\024. Arbok\sprites\arbok8.png,23
./data\024. Arbok\sprites\arbok9.png,23
./data\025. Pikachu\pikachu-alola-cap2.jpg,24
./data\025. Pikachu\pikachu-alt117.png,24
./data\025. Pikachu\pikachu-alt124.jpg,24
./data\025. Pikachu\pikachu-alt216.png,24
./data\025. Pikachu\pikachu-belle19.png,24
./data\025. Pikachu\pikachu-belle8.jpg,24
./data\025. Pikachu\pikachu-gigantamax-alt25.jpg,24
./data\025. Pikachu\pikachu-gigantamax3.jpg,24
./data\025. Pikachu\pikachu-hoenn-cap4.jpg,24
./data\025. Pikachu\pikachu-johto-cap5.jpg,24
./data\025. Pikachu\pikachu-kalos-cap6.jpg,24
./data\025. Pikachu\pikachu-lets-go15.jpg,24
./data\025. Pikachu\pikachu-libre20.png,24
./data\025. Pikachu\pikachu-libre9.jpg,24
./data\025. Pikachu\pikachu-original-cap7.jpg,24
./data\025. Pikachu\pikachu-phd10.jpg,24
./data\025. Pikachu\pikachu-phd21.png,24
./data\025. Pikachu\pikachu-pop-star11.jpg,24
./data\025. Pikachu\pikachu-pop-star22.png,24
./data\025. Pikachu\pikachu-rock-star12.jpg,24
./data\025. Pikachu\pikachu-rock-star23.png,24
./data\025. Pikachu\pikachu-sinnoh-cap13.jpg,24
./data\025. Pikachu\pikachu-unova-cap14.jpg,24
./data\025. Pikachu\pikachu0.jpg,24
./data\025. Pikachu\pikachu1.jpg,24
./data\025. Pikachu\pikachu18.png,24
./data\025. Pikachu\sprites\pikachu-f10.png,24
./data\025. Pikachu\sprites\pikachu-f11.png,24
./data\025. Pikachu\sprites\pikachu-f12.png,24
./data\025. Pikachu\sprites\pikachu-f13.png,24
./data\025. Pikachu\sprites\pikachu-f3.png,24
./data\025. Pikachu\sprites\pikachu-f4.png,24
./data\025. Pikachu\sprites\pikachu-f5.png,24
./data\025. Pikachu\sprites\pikachu-f6.png,24
./data\025. Pikachu\sprites\pikachu0.png,24
./data\025. Pikachu\sprites\pikachu1.png,24
./data\025. Pikachu\sprites\pikachu2.png,24
./data\025. Pikachu\sprites\pikachu7.png,24
./data\025. Pikachu\sprites\pikachu8.png,24
./data\025. Pikachu\sprites\pikachu9.png,24
./data\026. Raichu\raichu-alolan2.jpg,25
./data\026. Raichu\raichu-gen13.jpg,25
./data\026. Raichu\raichu0.jpg,25
./data\026. Raichu\raichu1.jpg,25
./data\026. Raichu\raichu4.png,25
./data\026. Raichu\sprites\raichu-alolan13.png,25
./data\026. Raichu\sprites\raichu-alolan6.png,25
./data\026. Raichu\sprites\raichu-f10.png,25
./data\026. Raichu\sprites\raichu-f11.png,25
./data\026. Raichu\sprites\raichu-f12.png,25
./data\026. Raichu\sprites\raichu-f3.png,25
./data\026. Raichu\sprites\raichu-f4.png,25
./data\026. Raichu\sprites\raichu-f5.png,25
./data\026. Raichu\sprites\raichu0.png,25
./data\026. Raichu\sprites\raichu1.png,25
./data\026. Raichu\sprites\raichu2.png,25
./data\026. Raichu\sprites\raichu7.png,25
./data\026. Raichu\sprites\raichu8.png,25
./data\026. Raichu\sprites\raichu9.png,25
./data\027. Sandshrew\sandshrew-alolan2.jpg,26
./data\027. Sandshrew\sandshrew-gen13.jpg,26
./data\027. Sandshrew\sandshrew0.jpg,26
./data\027. Sandshrew\sandshrew1.jpg,26
./data\027. Sandshrew\sandshrew4.png,26
./data\027. Sandshrew\sprites\sandshrew-alolan13.png,26
./data\027. Sandshrew\sprites\sandshrew-alolan6.png,26
./data\027. Sandshrew\sprites\sandshrew0.png,26
./data\027. Sandshrew\sprites\sandshrew1.png,26
./data\027. Sandshrew\sprites\sandshrew10.png,26
./data\027. Sandshrew\sprites\sandshrew11.png,26
./data\027. Sandshrew\sprites\sandshrew12.png,26
./data\027. Sandshrew\sprites\sandshrew2.png,26
./data\027. Sandshrew\sprites\sandshrew3.png,26
./data\027. Sandshrew\sprites\sandshrew4.png,26
./data\027. Sandshrew\sprites\sandshrew5.png,26
./data\027. Sandshrew\sprites\sandshrew7.png,26
./data\027. Sandshrew\sprites\sandshrew8.png,26
./data\027. Sandshrew\sprites\sandshrew9.png,26
./data\028. Sandslash\sandslash-alolan2.jpg,27
./data\028. Sandslash\sandslash-gen13.jpg,27
./data\028. Sandslash\sandslash0.jpg,27
./data\028. Sandslash\sandslash1.jpg,27
./data\028. Sandslash\sandslash4.png,27
./data\028. Sandslash\sprites\sandslash-alolan13.png,27
./data\028. Sandslash\sprites\sandslash-alolan6.png,27
./data\028. Sandslash\sprites\sandslash0.png,27
./data\028. Sandslash\sprites\sandslash1.png,27
./data\028. Sandslash\sprites\sandslash10.png,27
./data\028. Sandslash\sprites\sandslash11.png,27
./data\028. Sandslash\sprites\sandslash12.png,27
./data\028. Sandslash\sprites\sandslash2.png,27
./data\028. Sandslash\sprites\sandslash3.png,27
./data\028. Sandslash\sprites\sandslash4.png,27
./data\028. Sandslash\sprites\sandslash5.png,27
./data\028. Sandslash\sprites\sandslash7.png,27
./data\028. Sandslash\sprites\sandslash8.png,27
./data\028. Sandslash\sprites\sandslash9.png,27
./data\029. Nidoran♀\nidoran-f-gen1-jp3.jpg,28
./data\029. Nidoran♀\nidoran-f-gen12.jpg,28
./data\029. Nidoran♀\nidoran-f0.jpg,28
./data\029. Nidoran♀\nidoran-f1.jpg,28
./data\029. Nidoran♀\nidoran-f4.png,28
./data\029. Nidoran♀\sprites\nidoran-f0.png,28
./data\029. Nidoran♀\sprites\nidoran-f1.png,28
./data\029. Nidoran♀\sprites\nidoran-f10.png,28
./data\029. Nidoran♀\sprites\nidoran-f11.png,28
./data\029. Nidoran♀\sprites\nidoran-f2.png,28
./data\029. Nidoran♀\sprites\nidoran-f3.png,28
./data\029. Nidoran♀\sprites\nidoran-f4.png,28
./data\029. Nidoran♀\sprites\nidoran-f5.png,28
./data\029. Nidoran♀\sprites\nidoran-f6.png,28
./data\029. Nidoran♀\sprites\nidoran-f7.png,28
./data\029. Nidoran♀\sprites\nidoran-f8.png,28
./data\029. Nidoran♀\sprites\nidoran-f9.png,28
./data\030. Nidorina\nidorina-gen1-jp3.jpg,29
./data\030. Nidorina\nidorina-gen12.jpg,29
./data\030. Nidorina\nidorina0.jpg,29
./data\030. Nidorina\nidorina1.jpg,29
./data\030. Nidorina\nidorina4.png,29
./data\030. Nidorina\sprites\nidorina0.png,29
./data\030. Nidorina\sprites\nidorina1.png,29
./data\030. Nidorina\sprites\nidorina10.png,29
./data\030. Nidorina\sprites\nidorina11.png,29
./data\030. Nidorina\sprites\nidorina2.png,29
./data\030. Nidorina\sprites\nidorina3.png,29
./data\030. Nidorina\sprites\nidorina4.png,29
./data\030. Nidorina\sprites\nidorina5.png,29
./data\030. Nidorina\sprites\nidorina6.png,29
./data\030. Nidorina\sprites\nidorina7.png,29
./data\030. Nidorina\sprites\nidorina8.png,29
./data\030. Nidorina\sprites\nidorina9.png,29
./data\031. Nidoqueen\nidoqueen-gen1-jp3.jpg,30
./data\031. Nidoqueen\nidoqueen-gen12.jpg,30
./data\031. Nidoqueen\nidoqueen0.jpg,30
./data\031. Nidoqueen\nidoqueen1.jpg,30
./data\031. Nidoqueen\nidoqueen4.png,30
./data\031. Nidoqueen\sprites\nidoqueen0.png,30
